,post_id,comment_sentiment,comment_happy,comment_angry,comment_surprise,comment_sad,comment_fear,comment_number
27,0044e91b8a71b88dd1db56dd2506c14c,-0.6876,0.0,0.0,0.0,0.0,0.0,1
28,0046dae5ae71ea6ac6c2e2508d94fdd4,0.0,0.0,0.0,0.0,0.0,0.0,1
29,0048c9817879bdaba2b2adeea1591722,-0.0258,0.0,0.0,0.0,1.0,0.0,1
30,004a274996020328a26fdfe037756152,0.5859,0.0,0.0,1.0,0.0,0.0,3
31,004b4cd1a5c46c58bab12dcbe4e3b645,0.0,0.0,0.0,0.0,0.0,0.0,2
32,004ccd6c719c498fea0ffd47aad9fb76,0.5951,0.0,0.0,0.0,1.0,0.0,1
33,004d41aa04689b9b67e9632d307ee219,0.0,0.0,0.0,0.0,0.0,0.0,1
34,004e6678729f63479eddf478e478e0ad,0.9806,0.4,0.1,0.3,0.0,0.2,9
35,004eba45a4140e32fd2724632eabc5bd,-0.5423,1.0,0.0,0.0,0.0,0.0,1
36,0052ea5bb21d1645903c683778674801,-0.5574,0.5,0.0,0.0,0.5,0.0,1
37,00568052e6ee830ce596230e0ad67fed,0.6124,0.0,0.0,1.0,0.0,0.0,2
38,00568b3d31e6590f666949e5cff75e1a,0.0,0.0,0.0,0.0,0.0,0.0,1
39,0059b3e283a0fdd55df4e75965bf43a1,0.0,0.0,0.0,0.0,0.0,0.0,1
40,005bd10f476b4bb5d07a6d7efc7df679,-0.3716,0.0,0.0,0.33,0.5,0.17,15
41,005c5551fe3099459c8d61d122992389,0.4939,0.0,0.0,0.6,0.0,0.4,1
42,005f755a995ac28ca7220eba39f90abe,0.0,0.0,0.0,0.0,0.0,0.0,1
43,006053f57531db7853b3edc6a9d40fcd,-0.8402,0.33,0.0,0.17,0.0,0.5,1
44,0061070cb7d79bdd642e2530d3146cb9,0.6876,0.0,0.0,0.0,0.33,0.67,4
45,0062d286ccd18c4e6eb0208ce60ffda2,0.7391,0.0,0.0,0.0,0.0,1.0,1
46,00642fc92cd66c700e768541a44255c7,0.0,0.0,0.5,0.0,0.5,0.0,2
47,006da9f9b5c01e21be3bcf614032a740,0.0,0.0,0.0,0.0,0.0,0.0,2
48,006e701df29704c32303e82bd2f1faf3,0.5106,1.0,0.0,0.0,0.0,0.0,1
49,006ec1bc931f28a8d7b09243db81c813,0.9525,0.0,0.0,0.0,1.0,0.0,9
50,00715a04bfb86db171f0517bdb05b9d8,0.0,0.0,0.0,0.0,0.0,0.0,2
51,0074532cc8d60c428add44bb8cac3366,0.4588,0.25,0.0,0.5,0.0,0.25,2
52,0074a4da0a1b830ce0aaa8d3248fdf7f,0.296,0.0,0.0,0.0,0.0,0.0,2
53,0079630ea54a47f5e50b9566651857b9,0.6369,0.5,0.0,0.0,0.5,0.0,2
54,007a88bdfb3b8d700ffdff71144c4cf9,0.6369,0.5,0.0,0.0,0.0,0.5,1
55,0080b883ad5e54705ee1d8b570bead92,0.4588,1.0,0.0,0.0,0.0,0.0,1
56,0083f6a406096c6766eb11c6b010aa74,0.5859,1.0,0.0,0.0,0.0,0.0,3
57,0088d5f3f8ae13f5765b5920ee9e1cf0,0.128,0.0,0.0,0.0,0.0,0.0,1
58,00899f711be0481decd61f3530386d96,0.0,0.0,0.0,0.0,0.0,0.0,1
59,008a6b77d800737218e8ac67d068d73a,0.0,0.0,0.0,0.0,0.0,1.0,1
60,00917fd4107f04ea363edb2f6d5c0a7a,0.0,0.0,1.0,0.0,0.0,0.0,1
61,0091feffd32a3767c894a897299b0497,0.0,0.0,0.0,0.0,0.0,0.0,1
62,00962860f27df979e04661c9d2e12bd0,0.0,0.0,0.0,0.0,0.0,0.0,2
63,0098006c7fde8bd2e6b7470ea6aca7e7,0.0,0.0,0.0,0.0,0.0,0.0,1
64,00998c38a353dee47370f79aa939d160,-0.1646,0.0,0.09,0.27,0.27,0.36,2
